dataset,tasks,epochs_per_task,lr,gamma,batch_size,dropout,hiddens,seed,experiment_dir
perm-mnist,2,3,0.01,1.0,64,0.0,100,7891,outputs/7DD588
perm-mnist,2,3,0.01,1.0,64,0.5,100,7891,outputs/FB5B56
perm-mnist,2,3,0.01,1.0,16,0.0,100,7891,outputs/9F4000
perm-mnist,2,3,0.01,1.0,16,0.5,100,7891,outputs/206C04
perm-mnist,2,3,0.01,0.4,64,0.0,100,7891,outputs/09D8AC
perm-mnist,2,3,0.01,0.4,64,0.5,100,7891,outputs/C6D7E4
perm-mnist,2,3,0.01,0.4,16,0.0,100,7891,outputs/B022D2
perm-mnist,2,3,0.01,0.4,16,0.5,100,7891,outputs/4E318E
perm-mnist,2,3,0.1,1.0,64,0.0,100,7891,outputs/28C9BC
perm-mnist,2,3,0.1,1.0,64,0.5,100,7891,outputs/168F5A
perm-mnist,2,3,0.1,1.0,16,0.0,100,7891,outputs/98EC0B
perm-mnist,2,3,0.1,1.0,16,0.5,100,7891,outputs/459E5D
perm-mnist,2,3,0.1,0.4,64,0.0,100,7891,outputs/54B817
perm-mnist,2,3,0.1,0.4,64,0.5,100,7891,outputs/B5EA48
perm-mnist,2,3,0.1,0.4,16,0.0,100,7891,outputs/B96174
perm-mnist,2,3,0.1,0.4,16,0.5,100,7891,outputs/8A42C2
perm-mnist,2,3,0.01,1.0,64,0.0,100,1145,outputs/9DF0AB
perm-mnist,2,3,0.01,1.0,64,0.5,100,1145,outputs/D4523C
perm-mnist,2,3,0.01,1.0,16,0.0,100,1145,outputs/CA7C96
perm-mnist,2,3,0.01,1.0,16,0.5,100,1145,outputs/9CFB97
perm-mnist,2,3,0.01,0.4,64,0.0,100,1145,outputs/1EA73A
perm-mnist,2,3,0.01,0.4,64,0.5,100,1145,outputs/A5D0E3
perm-mnist,2,3,0.01,0.4,16,0.0,100,1145,outputs/0693F1
perm-mnist,2,3,0.01,0.4,16,0.5,100,1145,outputs/C14E5C
perm-mnist,2,3,0.1,1.0,64,0.0,100,1145,outputs/EE9EA8
perm-mnist,2,3,0.1,1.0,64,0.5,100,1145,outputs/F4BDC0
perm-mnist,2,3,0.1,1.0,16,0.0,100,1145,outputs/78454B
perm-mnist,2,3,0.1,1.0,16,0.5,100,1145,outputs/C1B433
perm-mnist,2,3,0.1,0.4,64,0.0,100,1145,outputs/77AD69
perm-mnist,2,3,0.1,0.4,64,0.5,100,1145,outputs/632D1D
perm-mnist,2,3,0.1,0.4,16,0.0,100,1145,outputs/F74989
perm-mnist,2,3,0.1,0.4,16,0.5,100,1145,outputs/0BDD63
perm-mnist,2,3,0.01,1.0,64,0.0,100,9723,outputs/933F5E
perm-mnist,2,3,0.01,1.0,64,0.5,100,9723,outputs/2C49C9
perm-mnist,2,3,0.01,1.0,16,0.0,100,9723,outputs/EB92D9
perm-mnist,2,3,0.01,1.0,16,0.5,100,9723,outputs/1F5A3A
perm-mnist,2,3,0.01,0.4,64,0.0,100,9723,outputs/180A3D
perm-mnist,2,3,0.01,0.4,64,0.5,100,9723,outputs/E18D40
perm-mnist,2,3,0.01,0.4,16,0.0,100,9723,outputs/6624D3
perm-mnist,2,3,0.01,0.4,16,0.5,100,9723,outputs/E76335
perm-mnist,2,3,0.1,1.0,64,0.0,100,9723,outputs/36EAC9
perm-mnist,2,3,0.1,1.0,64,0.5,100,9723,outputs/A22B14
perm-mnist,2,3,0.1,1.0,16,0.0,100,9723,outputs/B4C275
perm-mnist,2,3,0.1,1.0,16,0.5,100,9723,outputs/3F57C3
perm-mnist,2,3,0.1,0.4,64,0.0,100,9723,outputs/CF182C
perm-mnist,2,3,0.1,0.4,64,0.5,100,9723,outputs/45E424
perm-mnist,2,3,0.1,0.4,16,0.0,100,9723,outputs/CE372B
perm-mnist,2,3,0.1,0.4,16,0.5,100,9723,outputs/F2A5C8
