,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
0,58.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,45.6,56.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,32.4,32.4,59.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,18.0,35.0,53.4,61.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,17.0,37.6,35.0,36.8,77.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,17.8,34.8,37.4,37.4,51.8,49.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,14.0,28.4,34.4,34.8,44.0,46.6,67.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,24.4,26.4,35.0,38.2,35.8,42.6,58.2,59.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,32.2,27.0,31.8,28.0,32.4,46.8,53.4,47.6,60.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,26.0,33.4,38.2,25.0,35.4,36.4,52.4,45.2,49.4,70.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10,26.6,30.0,29.8,25.2,33.6,30.2,42.6,38.0,33.0,58.2,76.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11,27.6,30.0,35.4,19.2,37.8,36.4,35.4,44.0,39.8,63.0,74.8,65.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12,24.4,25.0,26.2,19.4,37.0,38.8,34.2,35.6,33.0,50.4,60.2,50.6,75.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13,26.4,25.2,28.0,22.4,31.8,32.6,30.8,37.0,26.4,41.2,46.2,44.6,71.6,67.0,0.0,0.0,0.0,0.0,0.0,0.0
14,26.0,23.8,26.4,19.4,32.6,32.4,29.4,28.2,23.2,41.2,36.2,36.0,64.0,61.0,73.0,0.0,0.0,0.0,0.0,0.0
15,22.4,21.2,18.2,16.2,38.6,29.6,32.8,32.2,19.2,40.0,44.2,44.0,54.8,52.2,61.8,68.0,0.0,0.0,0.0,0.0
16,18.6,19.2,25.6,23.6,42.8,28.0,23.4,32.6,31.4,33.8,50.6,47.2,53.6,46.0,49.4,45.0,70.8,0.0,0.0,0.0
17,19.2,24.6,27.2,19.8,36.6,29.8,23.8,34.2,28.4,38.6,36.8,43.4,52.2,46.2,55.0,51.6,46.8,66.0,0.0,0.0
18,20.2,27.2,30.2,25.8,41.4,31.2,30.0,38.0,38.0,37.6,53.2,47.8,57.8,53.0,54.8,43.4,49.2,42.6,74.6,0.0
19,23.8,27.8,33.8,17.2,46.2,30.0,25.4,38.0,31.0,43.8,46.2,40.0,59.0,42.2,45.6,35.0,50.4,45.8,65.6,74.2
