,1,2,3,4,5
0,91.26,0.0,0.0,0.0,0.0
1,92.85,0.0,0.0,0.0,0.0
2,94.38,0.0,0.0,0.0,0.0
3,95.36,0.0,0.0,0.0,0.0
4,96.18,0.0,0.0,0.0,0.0
5,94.61,94.32,0.0,0.0,0.0
6,93.25,95.62,0.0,0.0,0.0
7,93.07,96.5,0.0,0.0,0.0
8,91.19,96.55,0.0,0.0,0.0
9,91.65,96.93,0.0,0.0,0.0
10,88.12,92.97,95.35,0.0,0.0
11,85.34,92.0,96.34,0.0,0.0
12,82.13,91.52,96.86,0.0,0.0
13,80.35,89.89,96.9,0.0,0.0
14,75.51,87.74,97.04,0.0,0.0
15,83.25,88.61,93.73,95.48,0.0
16,81.78,86.04,92.92,96.36,0.0
17,78.97,85.77,91.91,96.78,0.0
18,82.09,86.33,93.0,96.98,0.0
19,80.16,85.43,92.23,97.46,0.0
20,73.59,77.72,83.26,95.66,96.03
21,70.4,74.06,81.94,95.66,96.49
22,73.46,69.94,80.53,94.76,96.7
23,70.66,68.18,76.52,94.37,97.03
24,71.68,66.36,79.45,94.31,97.11
