,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
0,86.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,91.72,91.96,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,91.8,92.02,92.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,89.55,90.04,92.9,92.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,85.44,86.07,91.32,92.51,90.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,73.6,74.84,84.5,88.03,89.89,87.77,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,62.89,63.68,72.74,79.24,86.27,88.6,86.35,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,58.16,59.1,66.86,74.1,82.82,88.28,87.45,85.35,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,52.15,52.99,58.3,64.71,75.03,85.6,86.91,85.77,81.88,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,49.78,50.39,53.75,58.45,68.38,82.17,84.94,84.66,82.5,76.57,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10,47.04,47.19,49.33,52.64,58.59,74.05,79.8,80.66,80.15,77.04,64.16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11,44.84,45.13,46.46,49.01,52.56,64.5,71.9,73.84,75.42,73.92,66.86,59.08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12,42.16,42.2,44.14,46.04,48.63,56.4,63.04,65.72,68.69,69.28,66.38,62.01,56.87,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13,37.96,38.01,40.46,42.54,44.75,50.32,54.85,56.9,60.26,62.38,62.71,61.34,59.39,56.31,0.0,0.0,0.0,0.0,0.0,0.0
14,29.91,29.36,31.27,32.39,35.46,41.72,46.0,47.98,50.52,52.9,55.12,54.54,55.21,55.24,53.3,0.0,0.0,0.0,0.0,0.0
15,27.86,27.2,28.07,29.52,31.63,37.88,42.05,43.12,45.74,48.31,51.26,50.92,51.71,53.66,54.77,52.84,0.0,0.0,0.0,0.0
16,27.72,27.25,27.22,27.64,29.47,34.76,38.82,39.92,42.88,44.73,47.36,47.61,49.12,51.17,54.95,55.57,52.67,0.0,0.0,0.0
17,28.63,28.22,27.8,27.44,28.17,32.33,36.0,36.99,39.74,40.51,39.92,39.19,41.44,44.47,51.4,54.47,55.62,53.36,0.0,0.0
18,29.61,29.11,28.9,28.38,28.51,32.61,35.83,36.41,37.94,37.77,34.57,34.18,35.07,38.75,47.36,53.18,57.43,59.21,57.3,0.0
19,30.56,30.24,29.99,29.86,29.73,32.89,36.13,36.46,37.09,35.86,30.74,30.48,30.83,34.86,44.46,51.0,58.06,63.46,62.48,61.51
