,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
0,95.43,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,92.91,96.35,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,87.07,93.31,96.74,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,81.66,85.67,90.65,96.22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,72.1,71.41,87.22,94.33,96.41,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,57.39,63.91,69.61,81.53,91.46,96.49,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,38.63,55.69,63.34,71.42,82.78,92.38,96.62,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,33.74,54.28,58.72,63.53,69.16,83.03,92.8,96.58,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,36.47,38.36,53.01,54.76,62.42,68.15,86.77,94.65,95.83,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,33.7,37.68,49.68,55.58,50.23,64.83,82.39,91.06,93.38,95.96,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10,28.57,30.17,40.48,45.81,43.46,68.27,74.47,83.52,88.23,93.18,96.65,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11,26.1,28.88,43.55,41.31,35.17,61.19,65.51,75.87,76.29,87.17,93.77,96.28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12,18.82,28.65,40.28,37.38,32.39,62.74,64.89,67.97,67.48,71.72,85.88,94.5,96.15,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13,14.48,17.87,28.74,27.37,25.06,48.59,51.36,46.03,55.27,54.38,71.84,83.65,88.74,96.22,0.0,0.0,0.0,0.0,0.0,0.0
14,14.24,15.98,28.21,20.0,18.76,38.66,46.17,45.96,47.91,49.42,51.9,80.6,79.89,89.3,95.84,0.0,0.0,0.0,0.0,0.0
15,15.4,15.89,35.57,19.67,22.34,29.18,41.14,37.74,35.24,42.64,41.78,69.91,74.9,86.0,92.2,96.51,0.0,0.0,0.0,0.0
16,19.33,13.19,30.16,17.65,19.17,27.12,34.23,33.04,29.18,29.63,32.31,58.53,52.02,75.9,85.23,91.9,96.16,0.0,0.0,0.0
17,15.58,15.11,31.63,15.75,15.96,20.69,32.25,25.5,27.81,23.23,22.43,44.68,37.02,56.07,76.46,79.69,87.32,95.49,0.0,0.0
18,13.77,15.11,25.47,17.37,12.61,25.2,27.98,23.33,26.48,27.91,27.37,36.33,40.97,47.93,60.24,69.21,72.52,87.39,96.01,0.0
19,11.63,16.53,27.47,15.72,14.42,30.89,36.83,23.65,28.09,27.15,32.24,30.46,32.69,43.1,46.45,47.09,53.48,74.12,91.17,96.01
