,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
0,95.43,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,96.37,96.85,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,94.73,95.19,97.44,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,91.86,92.43,97.49,97.65,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,75.6,77.61,94.07,96.79,97.38,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,53.98,56.46,80.79,89.11,95.78,97.55,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,42.86,44.36,63.98,75.49,89.24,96.92,97.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,38.0,38.93,55.56,66.21,82.98,95.79,97.52,97.54,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,30.56,31.66,44.84,53.17,69.05,91.02,96.4,97.09,97.61,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,26.18,26.35,37.91,44.85,56.41,79.51,90.53,93.93,96.74,97.58,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10,18.86,17.84,24.77,29.22,36.88,55.91,71.37,80.41,90.3,95.83,97.43,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11,17.21,16.29,19.31,21.87,27.31,41.84,55.25,63.23,77.37,90.97,97.29,97.86,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12,18.23,17.48,19.73,21.32,25.74,37.26,47.55,53.74,64.7,81.17,94.04,96.49,97.35,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13,17.29,16.97,17.5,18.05,19.26,27.49,36.59,41.65,52.25,68.64,89.89,95.34,97.33,97.61,0.0,0.0,0.0,0.0,0.0,0.0
14,23.55,23.43,21.72,21.22,20.51,22.09,26.46,30.31,38.38,50.53,70.57,82.83,92.01,96.56,97.59,0.0,0.0,0.0,0.0,0.0
15,26.81,26.76,20.31,18.5,16.75,16.49,19.36,22.68,30.76,43.42,62.13,75.37,86.13,93.88,97.65,97.9,0.0,0.0,0.0,0.0
16,32.5,31.91,26.36,22.91,19.69,17.27,17.97,19.16,23.63,31.54,44.28,54.09,65.65,81.05,94.45,97.06,97.75,0.0,0.0,0.0
17,33.55,33.12,30.17,29.27,26.18,20.63,19.41,18.44,18.8,22.0,31.15,39.44,48.31,63.07,83.88,91.58,96.6,97.82,0.0,0.0
18,34.72,33.97,33.7,32.7,28.45,22.46,20.39,19.0,19.11,22.15,29.64,37.33,45.41,59.25,81.87,90.59,96.34,97.99,97.91,0.0
19,34.2,33.49,33.19,32.04,28.63,22.38,21.41,19.73,19.86,20.1,24.98,30.47,36.58,46.93,65.55,79.0,91.89,97.59,97.73,97.79
