,1,2,3,4,5
0,91.26,0.0,0.0,0.0,0.0
1,92.85,0.0,0.0,0.0,0.0
2,94.38,0.0,0.0,0.0,0.0
3,95.36,0.0,0.0,0.0,0.0
4,96.18,0.0,0.0,0.0,0.0
5,96.25,96.4,0.0,0.0,0.0
6,96.82,96.69,0.0,0.0,0.0
7,96.8,97.08,0.0,0.0,0.0
8,97.1,97.22,0.0,0.0,0.0
9,97.17,97.4,0.0,0.0,0.0
10,94.79,94.72,96.8,0.0,0.0
11,95.46,95.96,97.05,0.0,0.0
12,94.3,94.91,97.52,0.0,0.0
13,94.37,94.75,97.65,0.0,0.0
14,94.64,94.65,97.64,0.0,0.0
15,90.54,91.3,97.42,97.43,0.0
16,89.69,90.31,97.65,97.66,0.0
17,88.73,89.23,97.19,97.44,0.0
18,87.61,88.63,97.18,97.38,0.0
19,88.99,89.67,97.62,97.88,0.0
20,80.26,81.63,95.42,97.44,97.46
21,79.1,80.84,95.08,97.21,97.44
22,77.05,79.09,94.63,97.31,97.76
23,76.48,78.68,94.37,97.16,97.65
24,76.38,78.5,94.08,97.2,97.84
