,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
0,49.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,44.6,43.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,37.4,34.2,40.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,33.4,35.8,45.4,46.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,41.2,34.4,33.2,45.4,72.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,38.6,30.6,35.0,50.0,53.8,47.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,40.6,32.4,36.2,41.4,50.6,39.2,57.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,41.2,31.4,29.4,49.2,51.0,43.6,47.4,56.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,31.2,32.8,21.4,34.2,31.6,41.4,48.4,43.8,50.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,33.8,24.0,34.0,42.8,55.4,40.6,50.0,50.4,46.0,63.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10,31.6,27.2,27.6,40.0,46.4,40.4,52.0,45.0,44.2,61.2,75.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11,32.8,26.4,26.8,39.8,35.6,31.8,41.8,46.2,40.6,53.8,63.0,59.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12,36.2,27.0,31.6,38.8,35.8,41.6,43.6,39.8,40.2,62.2,68.8,44.4,73.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13,34.6,22.0,26.4,34.6,34.4,40.4,46.2,39.8,36.2,57.6,54.6,42.8,69.8,61.0,0.0,0.0,0.0,0.0,0.0,0.0
14,45.4,20.2,27.2,32.8,42.8,37.6,43.8,36.8,30.8,57.0,56.6,38.8,68.2,54.2,75.0,0.0,0.0,0.0,0.0,0.0
15,43.8,27.8,29.2,35.4,36.6,36.0,54.8,43.2,30.6,58.8,57.0,42.2,64.2,49.8,62.4,55.6,0.0,0.0,0.0,0.0
16,28.8,28.6,27.6,43.2,40.0,35.2,47.8,43.4,34.6,50.8,69.6,42.6,64.2,39.0,45.6,47.2,64.6,0.0,0.0,0.0
17,37.4,24.6,28.4,42.2,37.0,39.6,53.6,55.0,39.4,54.0,62.4,49.6,63.0,43.4,55.8,51.2,57.4,56.8,0.0,0.0
18,33.2,21.2,25.8,39.2,30.2,43.2,52.6,47.6,38.8,54.6,66.8,43.4,63.6,47.2,54.4,48.8,63.2,54.4,69.4,0.0
19,40.6,23.6,26.6,38.6,37.6,42.6,53.4,49.2,35.4,61.0,63.8,44.0,68.8,51.4,65.0,52.2,55.8,55.0,64.6,64.0
