,1,2,3,4,5
0,95.72,0.0,0.0,0.0,0.0
1,96.02,0.0,0.0,0.0,0.0
2,96.56,0.0,0.0,0.0,0.0
3,96.67,0.0,0.0,0.0,0.0
4,96.97,0.0,0.0,0.0,0.0
5,97.49,97.49,0.0,0.0,0.0
6,97.54,97.55,0.0,0.0,0.0
7,97.55,97.59,0.0,0.0,0.0
8,97.58,97.56,0.0,0.0,0.0
9,97.67,97.64,0.0,0.0,0.0
10,97.03,97.14,96.73,0.0,0.0
11,96.75,96.86,97.06,0.0,0.0
12,96.58,96.63,97.18,0.0,0.0
13,96.97,96.95,97.36,0.0,0.0
14,96.52,96.74,97.46,0.0,0.0
15,95.64,95.85,97.5,96.87,0.0
16,95.39,95.69,97.47,97.0,0.0
17,95.38,95.46,97.34,97.04,0.0
18,95.28,95.49,97.37,96.96,0.0
19,95.13,95.38,97.48,97.18,0.0
20,92.25,92.89,96.88,97.17,95.78
21,91.3,92.09,96.76,97.09,96.05
22,91.01,91.8,96.67,97.06,96.23
23,90.54,91.51,96.62,97.02,96.42
24,90.45,91.47,96.63,97.08,96.43
