,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
0,46.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,51.0,57.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,46.2,46.0,57.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,32.8,36.2,54.2,64.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,32.8,48.4,45.0,44.2,76.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,32.4,42.2,49.2,43.4,62.8,55.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,30.6,36.4,43.8,40.6,44.6,45.4,70.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,35.4,39.2,46.0,45.6,51.2,43.2,61.0,62.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,43.4,41.2,39.6,38.2,52.6,43.0,49.2,52.6,66.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,27.8,28.4,40.6,31.6,54.2,38.6,54.0,42.2,51.6,70.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10,28.2,30.8,41.6,26.6,51.4,31.8,51.8,50.8,43.4,62.4,76.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11,40.2,34.2,41.6,33.4,40.6,33.2,40.4,45.2,35.8,57.6,60.8,68.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12,32.4,34.6,38.0,32.4,42.0,36.0,34.4,40.6,37.8,58.6,71.6,53.6,74.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13,30.0,29.8,39.0,25.6,36.2,37.8,36.0,33.4,34.0,48.8,64.8,48.4,66.4,71.2,0.0,0.0,0.0,0.0,0.0,0.0
14,28.4,28.8,35.0,24.8,43.0,35.6,28.2,30.2,20.0,43.4,58.4,48.8,69.6,63.8,75.0,0.0,0.0,0.0,0.0,0.0
15,30.6,30.8,31.4,35.8,34.2,29.4,37.8,32.6,23.8,47.8,58.0,43.4,53.8,58.2,61.0,68.0,0.0,0.0,0.0,0.0
16,31.2,26.8,39.2,31.4,43.8,31.0,22.6,36.4,28.6,51.4,60.6,51.2,59.2,30.8,57.8,48.8,74.8,0.0,0.0,0.0
17,40.6,25.8,26.8,25.2,33.2,34.8,21.6,31.8,28.2,34.2,50.4,46.8,57.8,42.0,53.2,51.4,53.0,71.2,0.0,0.0
18,30.6,28.0,39.0,26.6,31.8,38.4,32.0,41.4,40.6,49.4,68.8,55.4,65.4,53.4,64.6,49.0,60.2,59.0,77.0,0.0
19,31.4,31.4,30.8,23.6,32.4,34.0,36.8,42.2,42.4,52.6,64.4,56.8,63.0,56.8,68.8,48.0,51.0,58.0,65.2,74.2
