,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
0,36.63,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,12.18,51.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,10.51,37.79,60.47,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,4.56,36.64,44.88,48.26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,10.83,33.96,49.67,37.17,49.28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,13.09,31.66,43.69,28.41,24.6,61.88,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,14.51,24.6,40.68,36.96,37.44,56.83,47.47,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,17.81,27.1,41.83,24.29,25.03,48.66,26.34,57.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,17.28,31.87,38.24,25.92,27.37,37.09,23.69,39.71,68.12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,14.79,29.5,39.18,26.5,22.29,34.03,21.97,30.78,46.42,59.17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10,18.53,24.51,40.33,28.76,30.28,30.19,18.16,29.72,46.03,45.54,61.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11,15.32,30.69,37.17,22.32,21.36,25.94,18.23,34.06,41.51,39.59,44.86,62.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12,15.03,28.2,40.21,23.28,22.04,30.29,20.17,33.02,41.61,38.06,44.84,56.08,51.22,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13,12.3,27.59,39.89,24.93,21.87,31.84,18.14,33.98,31.16,34.01,37.54,45.0,44.09,46.67,0.0,0.0,0.0,0.0,0.0,0.0
14,13.68,28.18,36.52,23.43,22.31,29.92,18.9,29.61,35.37,30.07,32.0,35.12,34.8,38.64,43.89,0.0,0.0,0.0,0.0,0.0
15,12.34,21.75,44.2,25.49,25.54,28.62,19.59,26.99,25.85,28.12,30.66,27.67,30.8,34.46,36.51,46.96,0.0,0.0,0.0,0.0
16,13.18,29.62,41.57,24.91,24.49,36.5,17.85,27.41,27.59,35.48,27.28,29.52,37.29,36.99,42.55,36.0,59.35,0.0,0.0,0.0
17,17.09,31.71,40.72,26.27,23.43,37.15,17.99,28.33,20.03,33.39,26.15,23.14,33.41,35.65,31.93,33.13,56.96,59.96,0.0,0.0
18,18.36,30.55,44.5,25.69,26.98,32.95,19.91,30.67,20.98,31.87,26.27,25.12,30.01,33.64,32.17,31.09,55.98,61.85,61.05,0.0
19,18.0,30.14,43.35,25.33,27.49,32.31,19.7,31.64,20.23,26.25,25.75,24.07,30.77,32.05,29.3,27.33,53.09,54.89,57.68,61.34
