,1,2,3,4,5
0,95.72,0.0,0.0,0.0,0.0
1,96.02,0.0,0.0,0.0,0.0
2,96.56,0.0,0.0,0.0,0.0
3,96.67,0.0,0.0,0.0,0.0
4,96.97,0.0,0.0,0.0,0.0
5,95.84,93.47,0.0,0.0,0.0
6,95.23,95.42,0.0,0.0,0.0
7,94.83,96.22,0.0,0.0,0.0
8,94.87,96.51,0.0,0.0,0.0
9,94.95,96.7,0.0,0.0,0.0
10,92.71,94.39,92.79,0.0,0.0
11,92.86,93.9,94.32,0.0,0.0
12,92.55,92.64,95.18,0.0,0.0
13,91.61,92.42,95.71,0.0,0.0
14,92.02,92.4,95.99,0.0,0.0
15,91.07,91.18,93.69,90.68,0.0
16,91.3,90.78,93.2,92.59,0.0
17,91.09,90.15,93.0,93.45,0.0
18,91.15,89.25,92.47,93.63,0.0
19,91.27,89.15,92.18,94.41,0.0
20,87.35,82.5,87.82,91.16,87.44
21,88.54,85.45,89.65,91.13,90.47
22,89.45,86.53,89.72,91.1,91.59
23,89.86,86.93,89.65,91.01,92.63
24,90.05,87.4,90.26,90.68,92.95
